archive_id,version,date,branch,source_type,source_root_id,relative_path,filename,file_size_bytes,sha256,availability_status,integrity_status,duplicate_group,probable_architecture_era,milestone_selected
BLU-BRANCH-DEV,,2026-08-04T02:03:07.279284+00:00,dev,current_branch_file_set,dad_kernel_root,DevBuild,DevBuild,228328,45c864a14232d09a303f7efb060717f79c36ab64d6bfb8f41d768a0503c9edac,available,readable,,unclassified_branch_file_set,False
BLU-BRANCH-PREVIEW,,2026-05-02T05:40:47.230941+00:00,preview,current_branch_file_set,dad_kernel_root,Preview,Preview,291865,ffe04078f83cedbed1cb61fddd557639d50397ff8ae034ed5e5cbbeaeb74b37f,available,readable,,unclassified_branch_file_set,False
BLU-BRANCH-RELEASE,,2026-03-01T06:38:34+00:00,release,current_branch_file_set,dad_kernel_root,Release,Release,190882,206f8397935d3f1e457139b0e1207e2fc2cf63d808e3ec1dca7a60d5d2791130,available,readable,,unclassified_branch_file_set,False
BLU-HIST-0001,v0.8.1,2026-02-21T22:01:17.721623+00:00,release,archive_file,dad_kernel_root,Release/!Archives/v0.8.x/Blu_v0.8.1_Alpha_R2_TASKIFIED_00_03_04_05.zip,Blu_v0.8.1_Alpha_R2_TASKIFIED_00_03_04_05.zip,47352,55e85cead1c3808a4ae1cabd65abc327a6414a71bfa7a4d64d9177224b92ad15,available,readable,,teaching_reminder_mood_pass_expansion_era,False
BLU-HIST-0002,v0.8.1,2026-02-21T22:14:17.085277+00:00,release,archive_file,dad_kernel_root,Release/!Archives/v0.8.x/Blu_v0.8.1_Alpha_R2_TASKIFIED_00_03_04_05_IDPATCH.zip,Blu_v0.8.1_Alpha_R2_TASKIFIED_00_03_04_05_IDPATCH.zip,47534,5bebbddadd787b4e74847cb3ad9b5034cc2e51c22ac3a6db1bf88aed336b3a21,available,readable,,teaching_reminder_mood_pass_expansion_era,False
BLU-HIST-0003,v0.3.7.2,2025-09-13,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_MergedFiles_Final_2025-09-13_18-22-51_v0.3.7.2.zip,Blu_MergedFiles_Final_2025-09-13_18-22-51_v0.3.7.2.zip,20100,fdbd80b66c0bddc9ae6dc2f9886e9b4b39fb988456e62e16cf0c8ea28ac13c78,available,readable,,early_modular_capability_era,False
BLU-HIST-0004,v0.3.7.5,2025-09-13,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_MergedFiles_MainMerge_2025-09-13_18-37-59_v0.3.7.5.zip,Blu_MergedFiles_MainMerge_2025-09-13_18-37-59_v0.3.7.5.zip,21225,d2b4b2716180e8e0e8639975a38dbcfaf0c7c40ed4644aa10686ca90912e8e6f,available,readable,,early_modular_capability_era,False
BLU-HIST-0005,v0.3.7.4,2025-09-13,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_MergedFiles_MainUpdate_2025-09-13_18-34-07_v0.3.7.4.zip,Blu_MergedFiles_MainUpdate_2025-09-13_18-34-07_v0.3.7.4.zip,21233,19caca8f3cb2fdd59375ab3f4acbb4e755940edac34f9a967b891a36e53f7470,available,readable,,early_modular_capability_era,False
BLU-HIST-0006,v0.3.7.3,2025-09-13,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_MergedFiles_Update_2025-09-13_18-28-35_v0.3.7.3.zip,Blu_MergedFiles_Update_2025-09-13_18-28-35_v0.3.7.3.zip,20971,24bbd6ec53f2286e40b5245302ef2e883f83a825823e0414fd1b83a0e67a7868,available,readable,,early_modular_capability_era,False
BLU-HIST-0007,v0.3.6.4,2025-09-13T05:52:45.118616+00:00,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_Beta_v0.3.6.4.zip,Blu_Beta_v0.3.6.4.zip,22652,cb2cd31cec42b0df784dabb56298d6d4cb73732fe0e8d3f6235639089450f3fb,available,readable,,early_modular_capability_era,False
BLU-HIST-0008,v0.3.7.2,2025-09-13T18:06:43.153096+00:00,release,archive_file,dad_kernel_root,Release/!Archives/v0.3.x/Blu_MergedFiles_Full_v0.3.7.2.zip,Blu_MergedFiles_Full_v0.3.7.2.zip,19835,a588965f4c644c731e2fdfc9c80ee49f4d114503f36814ad058d8b1bbd274624,available,readable,,early_modular_capability_era,False
